Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.185,0.07,0,0.85,0.25,122,66,59,34.76933003851118,23.55549585407174,14.50231513371083
0.185,0.16,0,0.6,0.25,107,71,56,34.12091963757958,13.443979227469955,15.352886223629536
0.185,0.16,0,0.65,0.25,111,70,54,34.25617269753933,15.629600160657814,16.939266117760898
0.185,0.16,0,0.75,0.25,112,70,56,34.40411408453356,16.618846435627137,15.711848699046428
0.185,0.16,0,0.8,0.25,115,70,57,34.801623058788024,17.926953791675665,16.10996229604553
0.185,0.16,0,0.85,0.25,116,70,56,34.872098048539826,17.95995242951151,16.411174213231927
0.185,0.32,0,0.6,0.25,106,75,55,35.028932500483954,10.048684866776458,17.472211352023127
0.185,0.32,0,0.65,0.25,104,75,55,34.8009334368989,9.084212230892202,17.07594703072104
0.185,0.32,0,0.75,0.25,106,75,54,34.95637781519478,10.652489646933605,17.46481535813601
0.185,0.32,0,0.8,0.25,109,74,54,35.00749338660808,12.424065201170869,17.584329439986224
0.185,0.32,0,0.85,0.25,108,76,54,35.3372877976973,10.59140711069617,18.165198400510796
0.32,0.003,0,0.6,0.25,103,59,36,29.94635679320357,16.758241361301828,22.073682848037855
0.32,0.003,0,0.65,0.25,100,59,37,29.420959531583748,15.721142108176739,21.171889609126982
0.32,0.003,0,0.75,0.25,102,56,37,28.94670114363587,18.34010881172457,20.350782703540737
0.32,0.003,0,0.8,0.25,101,58,36,29.31067650076089,16.965685050318562,21.559762634566603
0.32,0.003,0,0.85,0.25,102,59,35,29.659156642715892,16.496715734731186,22.268308937162285
0.32,0.02,0,0.6,0.25,92,63,37,29.39140182234972,9.433590748046006,20.81191558308714
0.32,0.02,0,0.65,0.25,93,62,38,29.330061191511803,10.39181759905733,20.29219700916577
0.32,0.02,0,0.75,0.25,94,61,37,29.331752203788746,11.657336521876783,20.754472391187097
0.32,0.02,0,0.8,0.25,95,62,38,29.791504665072857,11.201674222614727,20.589787429465733
0.32,0.02,0,0.85,0.25,95,61,37,29.325802154160634,12.418754238684715,20.65929167698758
0.32,0.07,0,0.6,0.25,91,58,36,28.02948731911379,12.132946382398174,19.38896008017541
0.32,0.07,0,0.65,0.25,95,60,36,29.08296687405214,12.659527716084085,21.204363937772065
0.32,0.07,0,0.75,0.25,93,61,36,29.145915198079322,11.109080212081096,21.236463037250108
0.32,0.07,0,0.8,0.25,94,58,37,28.36192053036902,13.657991484196137,19.443322105234717
0.32,0.07,0,0.85,0.25,93,57,37,27.929828909777925,13.616844737312311,18.76151679148438
0.32,0.16,0,0.6,0.25,89,60,38,28.36274761225671,10.079115235525766,18.768257070901527
0.32,0.16,0,0.65,0.25,90,59,38,28.116291947785967,10.90839310422534,18.135291973676416
0.32,0.16,0,0.75,0.25,87,58,39,27.638177493628582,10.134055852597717,17.275176057573873
0.32,0.16,0,0.8,0.25,90,58,39,27.94821689828712,11.637699086951836,17.716380294473932
0.32,0.16,0,0.85,0.25,90,59,39,28.096751887418122,11.130934843461338,17.968832201790917
0.32,0.32,0,0.6,0.25,84,59,38,27.37370431245109,8.053457808997798,17.200928568190488
0.32,0.32,0,0.65,0.25,85,59,38,27.555657466495163,8.676358568497605,17.369081188967282
0.32,0.32,0,0.75,0.25,85,59,38,27.56783248345655,8.531339309425178,17.325611580217924
0.32,0.32,0,0.8,0.25,85,59,38,27.537077190584647,8.683936003180126,17.27313568549338
0.32,0.32,0,0.85,0.25,87,58,38,27.521204389632807,9.922477961649466,17.254418830085484
0.5,0.003,0,0.6,0.25,85,47,30,24.13905685896158,15.684323824295799,18.09406108855193
0.5,0.003,0,0.65,0.25,83,47,31,23.79162437170357,14.89154881202362,17.488633435720715
0.5,0.003,0,0.75,0.25,85,48,30,24.22593799016562,14.893887692749603,18.204241369739815
0.5,0.003,0,0.8,0.25,86,48,30,24.452110590626667,15.03144989233099,18.59309339353188
0.5,0.003,0,0.85,0.25,86,48,30,24.517418540456624,14.97458720868189,18.705219795878246
0.5,0.02,0,0.6,0.25,82,42,31,22.257916454747225,17.383328443404483,14.893038546530224
0.5,0.02,0,0.65,0.25,81,42,32,22.084818845526513,17.075300534374893,14.596414869180007
0.5,0.02,0,0.75,0.25,84,43,31,23.02573912766264,17.384056175651143,16.21076330885558
0.5,0.02,0,0.8,0.25,85,43,31,23.15041670181192,17.805402184812163,16.415340760287446
0.5,0.02,0,0.85,0.25,85,43,31,23.117150298203683,17.769757355538708,16.357875248661568
0.5,0.07,0,0.6,0.25,73,42,32,20.92153551061981,12.77143556297472,12.654162054983987
0.5,0.07,0,0.65,0.25,76,42,32,21.499701452731593,14.710314945246717,13.644052268590446
0.5,0.07,0,0.75,0.25,73,42,32,20.966148462624318,13.434711156789403,12.726324010128776
0.5,0.07,0,0.8,0.25,73,40,32,20.58778361051936,14.334290891529712,12.113931519714916
0.5,0.07,0,0.85,0.25,75,39,32,20.502723624033266,16.248837776453666,11.962104759759562
0.5,0.16,0,0.6,0.25,70,42,32,20.64291573811243,11.712383245850749,12.22791382325541
0.5,0.16,0,0.65,0.25,70,43,32,20.711607435189777,10.833445752287563,12.345305168665776
0.5,0.16,0,0.75,0.25,73,42,32,20.978198593732635,13.379750072042423,12.797242822616205
0.5,0.16,0,0.8,0.25,75,42,32,21.184686152221474,14.226548396907319,13.153011056845788
0.5,0.16,0,0.85,0.25,72,41,32,20.600351980298804,13.016722033718231,12.152713491369472
0.5,0.32,0,0.6,0.25,69,41,32,20.057064442308075,12.062485296008147,11.131318482579388
0.5,0.32,0,0.65,0.25,70,41,32,20.13206914792505,12.703640866798704,11.260781011427623
0.5,0.32,0,0.75,0.25,70,42,32,20.57688007566405,11.56511640251473,12.024878180262577
0.5,0.32,0,0.8,0.25,70,42,32,20.513199679590947,12.089429260065371,11.915697736097709
0.5,0.32,0,0.85,0.25,75,42,32,21.274978869997575,14.056619185463887,13.227433125507304
0.002,0.003,0.25,0.6,0.25,252,212,188,87.75051464553704,10.635495984625098,16.993320034689297
0.002,0.003,0.25,0.65,0.25,253,211,191,87.80310693636748,11.818104515371353,15.43475237296905
0.002,0.003,0.25,0.75,0.25,251,213,194,88.16777992262894,10.647887293204816,14.120019778655557
0.002,0.003,0.25,0.8,0.25,252,214,193,88.30682818679219,10.214353345159521,15.11432408816269
0.002,0.003,0.25,0.85,0.25,251,213,193,88.24022340138525,10.318615254666208,14.757903401494143
0.002,0.02,0.25,0.6,0.25,236,177,165,77.41227576423637,19.96544137645828,14.222259256099857
0.002,0.02,0.25,0.65,0.25,236,175,168,77.14070697726467,21.316635440207122,12.3663175933312
0.002,0.02,0.25,0.75,0.25,236,177,163,77.3200775717028,19.8563793183158,15.494967635638734
0.002,0.02,0.25,0.8,0.25,238,175,163,77.27335435867764,21.26786249345125,15.150491744014616
0.002,0.02,0.25,0.85,0.25,238,176,163,77.28287186683275,20.946436503704756,15.354565970850697
0.002,0.07,0.25,0.6,0.25,206,152,156,68.09492109713095,21.097027938231538,5.90701576642505
0.002,0.07,0.25,0.65,0.25,214,153,154,69.19252728213002,23.234971595454734,8.300514066046837
0.002,0.07,0.25,0.75,0.25,216,148,155,68.39322137252356,26.56681154857443,7.100579868626311
0.002,0.07,0.25,0.8,0.25,219,149,152,68.8045667813421,26.80384501867944,9.031067157305772
0.002,0.07,0.25,0.85,0.25,218,148,156,68.4386538756299,27.67616860307731,6.437761649844398
0.002,0.16,0.25,0.6,0.25,200,144,150,65.4804858782177,22.169492503196054,5.340769734616191
0.002,0.16,0.25,0.65,0.25,195,147,147,65.66385871879473,17.763531874265492,7.249510245474156
0.002,0.16,0.25,0.75,0.25,200,145,150,65.76829861939504,21.42324137380308,5.586823981870626
0.002,0.16,0.25,0.8,0.25,204,141,150,65.24161896140536,24.968128911625918,4.78137950362143
0.002,0.16,0.25,0.85,0.25,199,136,152,63.422697016838654,26.342555271744338,1.3895318362348696
0.002,0.32,0.25,0.6,0.25,178,142,147,62.659725570505884,14.288666398582063,2.476561268896371
0.002,0.32,0.25,0.65,0.25,178,143,148,62.97804009960251,13.736035282053027,2.7418911438540805
0.002,0.32,0.25,0.75,0.25,183,141,149,62.867718422465444,17.596372356458446,1.6539904923129622
0.002,0.32,0.25,0.8,0.25,184,144,146,63.70808036474716,15.407128820841331,4.477668866317064
0.002,0.32,0.25,0.85,0.25,189,141,143,63.38343873579808,18.68424814509512,5.979461252555174
0.0135,0.003,0.25,0.6,0.25,233,187,155,79.28726029002294,11.954694611897521,22.411224297231946
0.0135,0.003,0.25,0.65,0.25,233,187,156,79.42672676815837,12.253088716471073,22.26507539756437
0.0135,0.003,0.25,0.75,0.25,235,188,156,79.67804993709932,12.486002841399003,22.385350992031583
0.0135,0.003,0.25,0.8,0.25,235,188,156,79.69872426196045,12.607730880974888,22.683934776526193
0.0135,0.003,0.25,0.85,0.25,234,188,157,79.74084291514382,12.317615815203798,21.988376782910812
0.0135,0.02,0.25,0.6,0.25,216,158,142,70.32257528386235,19.575576588171216,16.54876982538862
0.0135,0.02,0.25,0.65,0.25,215,158,138,70.1863830728662,18.446976442750785,18.84156322377697
0.0135,0.02,0.25,0.75,0.25,218,161,140,71.31795239981466,18.166536281717992,19.370468257821514
