Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.0072,0.001,0.001,0.3167,243.511,200.456,185.42,84.06131964576299,13.022424930257293,13.232162116192825
0.002,0.0072,0.001,0.001,0.45,246.319,203.03,190.79,85.06077696282486,13.463733881656504,11.83283749872417
0.002,0.0072,0.001,0.5,0.05,241.599,191.723,164.88,81.3430742080237,14.16295817495772,20.33267704481578
0.002,0.0072,0.001,0.5,0.1833,244.345,196.967,177.42,83.12591521635443,14.066724280586696,16.183450195951
0.002,0.0072,0.001,0.5,0.3167,245.915,202.057,183.31,84.62480235686898,12.778621761897647,15.182471440817725
0.002,0.0072,0.001,0.5,0.45,247.69,204.764,188.28,85.549258864263,12.70502792771927,13.875247146882641
0.002,0.0072,0.001,0.999,0.05,244.723,194.636,164.21,82.33307849214894,13.735761423410874,22.104801294476808
0.002,0.0072,0.001,0.999,0.1833,247.196,199.396,175.74,83.94506508875862,13.637322663264618,18.260725522342327
0.002,0.0072,0.001,0.999,0.3167,248.683,202.905,182.21,85.06363196985224,13.21350105426694,16.415565584067494
0.002,0.0072,0.001,0.999,0.45,249.208,206.187,187.66,86.01833188938699,12.434237661851032,14.88713485271509
0.002,0.0072,0.3337,0.001,0.05,238.669,189.942,168.77,80.71002783617101,14.491018815046274,17.336832490041875
0.002,0.0072,0.3337,0.001,0.1833,241.506,195.372,179.33,82.51407986811412,14.10627933741232,14.268217339158662
0.002,0.0072,0.3337,0.001,0.3167,243.161,199.489,183.62,83.75586243729204,13.148838650205775,13.75278745520383
0.002,0.0072,0.3337,0.001,0.45,244.5,201.998,189.52,84.61592370792127,13.157067194513095,11.852692901860241
0.002,0.0072,0.3337,0.5,0.05,240.312,192.272,165.23,81.35805689350288,13.428232094618908,20.148809005924285
0.002,0.0072,0.3337,0.5,0.1833,243.77,196.853,176.8,83.03095269294342,13.829703278238458,16.36980168882134
0.002,0.0072,0.3337,0.5,0.3167,245.28,200.372,182.06,84.13262173397378,13.2556494558278,15.141949604667682
0.002,0.0072,0.3337,0.5,0.45,246.372,202.775,187.92,84.94032908881152,13.21022096525526,13.18898499510297
0.002,0.0072,0.3337,0.999,0.05,243.74,193.408,163.72,81.93305185074131,13.945822678733233,21.79866461935076
0.002,0.0072,0.3337,0.999,0.1833,246.033,198.222,174.42,83.52542248066504,13.644862849848282,18.3575480894665
0.002,0.0072,0.3337,0.999,0.3167,248.058,201.971,182.14,84.7790149193595,13.459619991923354,16.048340925629546
0.002,0.0072,0.3337,0.999,0.45,248.435,204.77,187.24,85.59661394808583,12.832143080209857,14.502207588446868
0.002,0.0072,0.6663,0.001,0.05,237.986,189.508,169.51,80.55497134130056,14.559670616121345,16.71617148479825
0.002,0.0072,0.6663,0.001,0.1833,240.472,194.606,179.03,82.22531205067165,14.084753967814056,14.00299862930412
0.002,0.0072,0.6663,0.001,0.3167,241.374,198.098,184.64,83.27601792362196,13.362923217347166,12.508421158553551
0.002,0.0072,0.6663,0.001,0.45,243.288,200.84,188.66,84.20526913347783,13.197292771940871,11.711350306211887
0.002,0.0072,0.6663,0.5,0.05,239.098,190.6,164.84,80.82953217640988,13.798485124486891,19.607932657242856
0.002,0.0072,0.6663,0.5,0.1833,242.025,195.487,175.98,82.51913526395072,13.785796311281185,16.064053539247958
0.002,0.0072,0.6663,0.5,0.3167,243.687,199.762,181.95,83.83421672807104,12.968847622838897,14.762315040729067
0.002,0.0072,0.6663,0.5,0.45,244.724,202.609,186.36,84.71393071204454,12.471699701989635,13.675291359058694
